lu,ll,ru,rl,ss
0.2321932384889793,0.7589489376763101,0.3202436728492852,0.2710086945099732,0.11922000671028336
0.23134400791894305,0.7575543874864694,0.3222039261089163,0.2745123607872695,0.1110497636197394
0.23539396763723572,0.757065098654006,0.3252636622803106,0.27981375810527975,0.10091759014165962
0.24773582704162922,0.7599972779556515,0.3291300958587652,0.2703274740476816,0.11331976879609319
0.2685304452012844,0.7721608705444739,0.3281385682908975,0.27061053656500517,0.12449309217783941
0.24369616328535004,0.763445669317732,0.2994053439736839,0.2833248885996428,0.07809385379144758
0.24577347293798812,0.7583614837265932,0.32202042248900925,0.2726416375024182,0.07242623833943058
0.2584339954417762,0.6555074370287493,0.31435349035759086,0.27475705796212047,0.1509517803803587
0.2536486743509613,0.417281020416697,0.31207551970636843,0.2746637799201052,0.1914365168926764
0.25072345323084555,0.357433420373641,0.315963431403066,0.2775437442998851,0.2237774438677857
0.27029171278453945,0.2982841765833382,0.30167932063699693,0.2985014740332113,0.28953577067436753
0.2664668272036877,0.2818987938959655,0.2999776658353085,0.2654774943380324,0.3442204235660635
0.288021804730128,0.277848663844187,0.30323416694033667,0.2763225289403671,0.38655127732294436
0.3050987545041771,0.2713026538757039,0.29741783739379185,0.278455023298198,0.35953817599804333
0.30405756034014353,0.262402477122454,0.30636155111240704,0.27117326564394206,0.3592066953718987
0.29281099706124436,0.26073289013854767,0.3019531420601548,0.2686967435604682,0.37551229007850045
0.29666226588496225,0.25887699781942775,0.3179003145641727,0.2705662395791464,0.39039731044155523
0.30310476736600506,0.2651584054862301,0.28763422953466433,0.27066662151066956,0.3901510733036626
0.3050655667229586,0.26586780549739375,0.30406652232694076,0.2831629389591794,0.378654354259924
0.3154204520952947,0.2689003532909543,0.3118525933834767,0.2813098825139281,0.3738834866639606
0.305324554531731,0.26969347415167466,0.3034010711912535,0.2825590557741868,0.3677250652321649
0.3075903600570083,0.2670196434721611,0.30740411513185706,0.27845186298532815,0.4054940833107186
0.2977467071186515,0.2807686770279049,0.2934761489457021,0.27877885500876853,0.38689079286020744
0.3096203746525737,0.28053501118398755,0.30516870743901636,0.280938160455286,0.3710165156701248
0.30175130753652096,0.2837078539624872,0.3095965116082545,0.27863066952509014,0.3756511764922346
0.311851072789561,0.28585210441765163,0.2997441242126357,0.2842880405504249,0.38215452646802434
0.30621682111863163,0.2836195559195452,0.29699644779020484,0.2838485511676958,0.3745853681552443
0.3082014018462602,0.27963466594826897,0.30716936696226715,0.28276359383767913,0.39153615873888326
0.30161601392499054,0.28425653835927855,0.3129514499087678,0.28511620437989843,0.36784278078548716
0.29666167413402095,0.28898503854006,0.31207412580987864,0.2781509122760521,0.38142223375152107
0.29191825777946806,0.28547811842591364,0.3046618617418334,0.24294801913166533,0.3747371908751519
0.2901158781176928,0.2896402508285062,0.3064413810176424,0.23878318617524147,0.3715653948849381
