epoch_time,LH_x,LH_y,LH_z,LK_x,LK_y,LK_z,LA_x,LA_y,LA_z,LT_x,LT_y,LT_z,RH_x,RH_y,RH_z,RK_x,RK_y,RK_z,RA_x,RA_y,RA_z,RT_x,RT_y,RT_z,TR_x,TR_y,TR_z
1687326752.216,0.10645233677734374,0.14934587382812503,-0.2217038393359374,0.20389788365234374,-0.22824237080078125,-0.35599492820312495,0.2782537210546875,-0.577481128125,-0.3302623110156249,0.27121159703125003,-0.6317579591796876,-0.19103242820312494,0.08391159458984374,0.1577186155273438,-0.2153920961718749,0.077536098984375,-0.2352915590332031,-0.36446229880859365,0.032707295273437485,-0.5929010896728515,-0.32458210471679677,0.01312,0.583,1.8,0.1475,-0.2433,1.494
1687326755.252,0.20283644810546875,0.17843020000000004,-0.21428069480468742,0.2561577835546875,-0.18907758808593747,-0.3332449770312499,0.2783498196875,-0.5752079347656249,-0.32373716453125,0.2741428275,-0.6408534181640625,-0.1902845766406249,0.06448699498046874,0.17594185161132816,-0.24727929099609364,0.056522792099609365,-0.17544859638671872,-0.3007379579882811,0.0310542386328125,-0.5839438005493164,-0.33248801597167954,0.0111,0.583,1.793,0.1819,-0.2646,1.467
1687326755.352,0.22961764927734374,0.194667309375,-0.20733049949218743,0.26209403721679686,-0.1808219850585937,-0.32927296775390613,0.2764501077734375,-0.5768024171875,-0.3149415102343749,0.2745728665625,-0.6368651125,-0.18543013328124988,0.06578648716796874,0.19381565532226563,-0.24449320701171867,0.05610985752929687,-0.1600285219238281,-0.2940763979296874,0.03147179234374999,-0.5838481645629883,-0.3356335359912109,0.00917,0.586,1.803,0.1967,-0.277,1.456
1687326755.418,0.24241053990234374,0.19766826152343753,-0.21093631003906244,0.2648942850195313,-0.18189152851562498,-0.3316387514453124,0.2774798538671875,-0.580900415234375,-0.31744024070312493,0.273484692734375,-0.6455101808593751,-0.19280181296874993,0.06731906773437499,0.20017670878906252,-0.2467340883593749,0.052098491562499995,-0.16399414082031247,-0.3026026430468749,0.0319039358984375,-0.5855749361083984,-0.33807415793945306,0.003199,0.585,1.793,0.203,-0.282,1.456
1687326755.485,0.24004574742187498,0.202184448046875,-0.20561743796874993,0.2715992593847656,-0.1845462282226562,-0.33285180076171866,0.2797259134375,-0.5766728029296875,-0.3113708071093749,0.2742320071875,-0.6463178712890625,-0.18816465476562488,0.06486688267578125,0.2105723020507813,-0.2384173891406249,0.05053954502929687,-0.1603682436035156,-0.29471765769531244,0.03150151890624999,-0.5856696489379882,-0.3349268953662109,0.003204,0.588,1.796,0.2041,-0.2876,1.452
1687326755.552,0.22143455357421873,0.20524836406250002,-0.21887903464843741,0.2506241690527344,-0.15566302509765623,-0.2835691591601562,0.2778547855078125,-0.5726962892578125,-0.3057753481249999,0.2727542728125,-0.6442692140624999,-0.18282661765624988,0.0020043826757812425,0.21065954875488285,-0.23555589622070303,0.01742765416015624,-0.15299246845703124,-0.27787642234374993,0.029033852890624996,-0.5756578477905273,-0.32118677695800774,0.005165,0.5957,1.79,0.1611,-0.2856,1.426
1687326755.618,0.1971765042578125,0.2082771970703125,-0.20230025046874991,0.24043167515625,-0.14518010273437498,-0.26474868796874995,0.2769799612890625,-0.5707686037109375,-0.3034735903124999,0.275511372421875,-0.6508564699218751,-0.19045884421874992,-0.0074269356835937606,0.20344570903320314,-0.23619223044921867,0.01062881749023437,-0.15635678120117186,-0.2806879946093749,0.03054121617187499,-0.5855120927856445,-0.32773224204589835,0.001223,0.5996,1.79,0.1476,-0.2837,1.432
1687326755.685,0.198222915390625,0.21069030742187506,-0.2062523989062499,0.23723435826171874,-0.15074843769531246,-0.2725439272265624,0.2763864261328125,-0.5647387453125,-0.3122145571093749,0.27547741734375,-0.640614282421875,-0.1870252504687499,-0.00936892298828126,0.20381228618164066,-0.23449183982421867,0.00831534947265624,-0.15354820881347653,-0.2789254396777343,0.029949292343749996,-0.5739948427246093,-0.3290898134570312,0.003183,0.5977,1.784,0.1453,-0.2837,1.424
1687326755.752,0.18363532994140624,0.21493427714843755,-0.19302356589843742,0.23618978916992187,-0.15453311787109372,-0.28072863181640617,0.27825755406249997,-0.5687152589843749,-0.3178100160937499,0.27381694859375,-0.6422233644531249,-0.18030181296874992,-0.010109108535156258,0.20327033977050785,-0.22910789817382804,0.004213343857421864,-0.15255805683593748,-0.2767095156054687,0.029949292343749996,-0.5739948427246093,-0.3290898134570312,0.003195,0.6035,1.79,0.1401,-0.283,1.42
1687326755.819,0.18304728306640625,0.21414450664062504,-0.18963396628906243,0.23511503697265623,-0.15583898945312497,-0.2835405092578124,0.276293530625,-0.559046606640625,-0.3144228090624999,0.28063267125,-0.63618005390625,-0.17852114890624993,-0.00540451136718751,0.20000722331542967,-0.2366966799121093,0.004269081162109362,-0.15597334003906246,-0.27538456443359366,0.025271597031249995,-0.5701193254516601,-0.3270110384326171,0.001221,0.6006,1.787,0.1414,-0.2805,1.416
