Lul,Lll,Lf,Rul,Rll,Rf,H
0.5399040659228265,0.3745085665241852,0.18367932491165137,0.47246894077812135,0.41521797889783146,0.14401145787748987,0.10934711884636016
0.5982886172275053,0.36593294695066747,0.209049232478859,0.4685739083645184,0.4153039970912873,0.11780191000149354,0.10835416189514835
0.4973087363610255,0.3938545515809103,0.2197504241179069,0.5198996153104944,0.40165055707667074,0.0906035319399855,0.200613820560798
0.5348977997711336,0.3550257608963045,0.21143863033986954,0.4689331753032621,0.4026304260733408,0.09201918278272206,0.13911558503632868
0.5148941158141156,0.3634227752907074,0.20319533557638558,0.4465415533855724,0.40455348224925713,0.13093956621281458,0.14813532461907933
0.5517414992548593,0.3490897484888377,0.21732889453544826,0.44743464371905756,0.41718528257837667,0.1442492634296619,0.16752158338554465
0.5082145302920803,0.3570729902975021,0.22807454921582113,0.4813309349086136,0.3701462143531931,0.14368496789852442,0.18078998893744092
0.5118419782012804,0.35786058961556516,0.22021381064774292,0.46005514843331546,0.41151336551805956,0.1705710995450285,0.19179619518906
0.42140428762057003,0.44942515683926704,0.19226607501064757,0.46950267315532934,0.3873579868803534,0.15850015772862813,0.20441849775644075
0.4096300384493305,0.4058376769103628,0.20189663196794544,0.46629158141660676,0.3789917281419214,0.16081806490565678,0.20888868447094017
0.3967549849718337,0.4501823741551862,0.20495238471410868,0.4690947948378878,0.38924670839969855,0.16338999357365797,0.20778060449425978
0.4326917203968664,0.4291133766267372,0.17461457556573007,0.4647709605773579,0.3898438661823473,0.15569521508382972,0.2123072779157606
0.43892802883844195,0.4581692630458747,0.16895224917117854,0.45911287675254764,0.41439986727797096,0.1478564844705838,0.21656856674042063
0.43990871280300875,0.45233522966932377,0.3617587732177339,0.48648263442799267,0.40043432670039664,0.14648156880645405,0.21990507588502822
0.4589068550370543,0.4417830349843688,0.4556131363338858,0.45875200664411275,0.4238325140901769,0.14254700978975318,0.22129740170187268
0.4666329335741319,0.45743677158706847,0.46768007227163316,0.4570089058913403,0.44827479295628475,0.15356591418671012,0.21630215934197236
0.4719372119138309,0.45059793608049287,,0.4578467364741175,0.4481106336609298,0.15575872367222346,0.21124873904712424
0.45011140270937366,0.466681882656698,,0.4808787112370438,0.4314899535331037,0.16578612728452286,0.21187308775774236
0.46011600102582834,0.47230885022408803,,0.4635855568568115,0.44792277236148653,0.15250983574838725,0.20671428130209094
0.47186355284128484,0.4493683566963745,,0.4681721291579092,0.45141247213607205,0.17239144410323853,0.2179427642071423
0.4633749594011313,0.45100516005917257,,0.44960341503013534,0.4455402563181019,0.14589379698945415,0.2222816552726742
0.46926841881805764,0.46555580761064513,,0.45605289587635567,0.4812518259705617,0.17275326335557306,0.22040122887862937
0.4960349428215719,0.42533918712011476,,0.47246417811406616,0.44292221664757353,0.14957917635820803,0.23254885001005707
0.4582684042665389,0.443915134794929,,0.46867966450551285,0.44146647664347055,0.14792041779281173,0.21892531903825097
0.46737945707957695,0.4402177592964645,,0.45741727514382313,0.4763396897173275,0.1819460359557195,0.2274388007794625
0.4612887036162928,0.4766984057032285,,0.4503118403162413,0.4496786630472919,0.12677728503166483,0.22681143181286084
0.4516348615242185,0.45228540060452965,,0.45515467679570204,0.4505236175829188,0.13521804613290359,0.22658869747849292
0.45771263695139563,0.4542161601044153,,0.46585837591375334,0.43594615493200534,0.1357344834594361,0.2199905281233717
0.444266020110699,0.4656806742822811,,0.4435641970774918,0.45366918564081476,0.11751191428957326,0.22451651895573302
0.4525816708131252,0.4623895570836348,,0.44790619784057467,0.4695037167052035,0.14028014827480062,0.22645402748460888
0.4410425116981355,0.47168920710569573,,0.48319508820351237,0.4115225996224265,0.12767536959022263,0.22823893561134567
0.44512394867497296,0.47530853989803307,,0.4532246014163397,0.4615551754665958,0.12693624383918106,0.22395949544727953
0.43923182029083446,0.48187727078582987,,0.465275620358514,0.4599292228158588,0.1525441903187401,0.21932279360796045
0.43308801510201134,0.4649422260883604,,0.48040586654307216,0.4182809701624018,0.121131705180766,0.2219047639055998
0.42858829703574497,0.49667988121122847,,0.46263067940745134,0.4575832274024037,0.16125399219864298,0.22310111725627915
0.44211346547690666,0.45930571779589235,,0.4655400928641915,0.4305091055947597,0.13175389937303555,0.22635617191497123
0.4386075257550878,0.45930571779589235,,0.4721068999802905,0.4469488785084934,0.15340576912228565,0.2193250957277803
0.4361837746283097,0.4512901505683455,,0.48182180674602093,0.4291191559462243,0.12607378791802837,0.21482909935341626
0.4411617531575013,0.4356315663493637,,0.4699819205033317,0.4509456064759918,0.14370455803487936,0.2200515737026209
0.4485056450971381,0.4583629370924312,,0.4616287960352994,0.4368808762122691,0.1211714900461327,0.22866427360871222
0.43693557824466517,0.46467663218629807,,0.4658979905515799,0.4437806890796399,0.19988058935274358,0.22371227596178084
0.452537304026972,0.4361999605685446,,0.46050749787598466,0.45406219838255635,0.13989960686149172,0.22371227596178084
0.43610360477758037,0.4681076932715378,,0.48850017205728796,0.4302878106570067,0.2768148298050522,0.21577625541286977
0.4349666421336238,0.4477392544774246,,0.4648662238752134,0.44192552539992536,0.28000273212952786,0.21998306664150305
0.43610360477758037,0.4538856023272826,,0.47651965762180265,0.4300491251008424,0.24304600387580966,0.22005063053761056
0.42473019687326213,0.46655207737186216,,0.47046019395906397,0.4323377036530586,0.2851435603340884,0.21705671668022622
