epoch_time,LH_x,LH_y,LH_z,LK_x,LK_y,LK_z,LA_x,LA_y,LA_z,LT_x,LT_y,LT_z,RH_x,RH_y,RH_z,RK_x,RK_y,RK_z,RA_x,RA_y,RA_z,RT_x,RT_y,RT_z
1686720808.214,-0.00827,0.00529,2.223,-0.03262,0.4646,2.395,-0.0834,0.8574,2.492,,,,-0.218,-0.05765,2.293,-0.518,0.1489,2.246,-0.3826,0.531,2.457,,,
1686720808.58,-0.00857,0.00548,2.303,-0.04025,0.4585,2.377,-0.084,0.8633,2.512,,,,-0.2216,-0.05792,2.303,-0.5186,0.1555,2.271,-0.3887,0.5474,2.445,,,
1686720808.747,-0.00839,0.00537,2.256,-0.04288,0.4585,2.377,-0.084,0.861,2.512,,,,-0.2211,-0.05777,2.297,-0.527,0.1613,2.318,-0.394,0.558,2.445,,,
1686720809.114,-0.01083,0.005352,2.246,-0.0435,0.4624,2.41,-0.0836,0.8564,2.498,,,,-0.2216,-0.05792,2.303,-0.5303,0.1667,2.322,-0.4248,0.554,2.404,,,
1686720809.181,-0.01081,0.00534,2.242,-0.04327,0.4602,2.398,-0.084,0.861,2.512,,,,-0.2201,-0.05753,2.287,-0.52,0.1635,2.277,-0.428,0.5566,2.395,,,
1686720809.414,-0.01083,0.005352,2.246,-0.0453,0.4539,2.365,-0.0842,0.863,2.518,,,,-0.2211,-0.05777,2.297,-0.5244,0.1674,2.297,-0.4338,0.5635,2.41,,,
1686720809.881,-0.01081,0.00534,2.242,-0.0481,0.456,2.377,-0.0842,0.863,2.518,,,,-0.2225,-0.0582,2.312,-0.505,0.1626,2.232,-0.4143,0.566,2.422,,,
1686720809.948,-0.01319,0.00285,2.227,-0.0481,0.4482,2.377,-0.0809,0.848,2.498,,,,-0.2216,-0.06046,2.303,-0.5034,0.1613,2.246,-0.4043,0.565,2.395,,,
1686720810.448,-0.013336,0.0004017,2.252,-0.04788,0.4434,2.365,-0.0823,0.8633,2.543,,,,-0.2219,-0.06058,2.307,-0.509,0.1638,2.281,-0.3918,0.562,2.35,,,
1686720810.715,-0.0134,-0.002087,2.262,-0.04788,0.4382,2.365,-0.07904,0.8613,2.53,,,,-0.2211,-0.0603,2.297,-0.509,0.1714,2.281,-0.392,0.591,2.383,,,
1686720810.782,-0.01349,-0.00461,2.277,-0.04767,0.4336,2.355,-0.07947,0.866,2.543,,,,-0.2216,-0.06046,2.303,-0.516,0.1953,2.328,-0.3728,0.5947,2.377,,,
1686720810.815,-0.0134,-0.00707,2.262,-0.05063,0.4395,2.371,-0.0785,0.8525,2.512,,,,-0.2216,-0.06046,2.303,-0.4949,0.197,2.232,-0.358,0.596,2.383,,,
1686720810.915,-0.0158,-0.007023,2.246,-0.05298,0.4373,2.361,-0.0785,0.855,2.512,,,,-0.2216,-0.06046,2.303,-0.4983,0.2034,2.246,-0.3586,0.5977,2.389,,,
1686720811.215,-0.02081,-0.004566,2.256,-0.05518,0.4316,2.344,-0.0855,0.843,2.475,,,,-0.2291,-0.04523,2.303,-0.428,0.404,2.654,-0.3386,0.7554,2.492,,,
1686720811.649,-0.02809,-0.00454,2.242,-0.05557,0.4504,2.361,-0.08887,0.8516,2.492,,,,-0.248,-0.02762,2.312,-0.2944,0.4556,2.445,-0.302,0.873,2.555,,,
1686720812.116,-0.0647,-0.00696,2.227,-0.0686,0.4478,2.361,-0.09576,0.8613,2.53,,,,-0.283,-0.01723,2.287,-0.3042,0.4607,2.416,-0.2908,0.8584,2.506,,,
1686720812.45,-0.09106,-0.006916,2.213,-0.0797,0.452,2.383,-0.0983,0.8677,2.523,,,,-0.3015,-0.00946,2.236,-0.3098,0.4507,2.377,-0.2913,0.858,2.486,,,
1686720812.516,-0.0907,-0.006886,2.203,-0.07916,0.4487,2.365,-0.0976,0.8643,2.506,,,,-0.3022,-0.00207,2.242,-0.3113,0.4556,2.389,-0.2886,0.8633,2.486,,,
1686720812.583,-0.0961,-0.00693,2.217,-0.07935,0.4473,2.371,-0.0951,0.866,2.512,,,,-0.3057,-0.006977,2.232,-0.3113,0.4502,2.389,-0.2957,0.879,2.523,,,
1686720812.783,-0.09534,-0.004566,2.256,0.02081,0.6265,3.361,-0.001119,0.911,2.676,,,,-0.2917,0.02048,2.277,-0.2778,0.4578,2.371,-0.2803,0.8633,2.486,,,
1686720813.117,-0.08203,-0.00206,2.232,0.0453,0.4348,2.334,0.04352,0.8096,2.377,,,,-0.2568,0.02696,2.193,-0.2556,0.459,2.312,-0.284,0.8857,2.543,,,
1686720813.384,0.01073,0.02591,2.107,0.1296,0.446,2.422,0.1327,0.7812,2.428,,,,-0.1614,0.04904,2.207,-0.1971,0.4717,2.312,-0.2832,0.883,2.512,,,
1686720813.45,0.0192,0.0533,2.287,0.1284,0.4417,2.398,0.1494,0.788,2.44,,,,-0.1279,0.06143,2.217,-0.1769,0.4653,2.281,-0.2837,0.887,2.492,,,
